Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback
jiyoung,40.0,,19,19.12,Warm
jiyoung,32.0,31.77,19,19.12,Neutral
jiyoung,40.0,,19,19.23,Warm
jiyoung,24.0,,19,19.27,Cool
jiyoung,40.0,,19,19.02,Warm
jiyoung,36.0,,19,19.48,Warm
jiyoung,40.0,40.57,19,19.19,Warm
jiyoung,28.0,29.81,19,19.28,Neutral
jiyoung,24.0,,19,19.38,Cool
jiyoung,32.0,29.33,19,19.37,Neutral
jiyoung,24.0,,19,19.21,Cool
jiyoung,40.0,,19,19.32,Warm
jiyoung,24.0,26.39,19,19.4,Cool
jiyoung,28.0,,19,19.41,Neutral
jiyoung,24.0,,19,19.35,Cool
jiyoung,36.0,,19,19.38,Neutral
